scenario,restitution,collision_count,first_collision_time,first_collision_point,first_collision_normal,first_collision_mode,first_collision_num_contacts,pre_momentum,post_momentum,pre_angular_momentum,post_angular_momentum,pre_total_ke,post_total_ke,delta_total_ke
0,1.0,1,2.504166666666686,"[-0.004171311855316162, 25.0, 0.0]","[1.0, 0.0, -0.0]",simultaneous-contacts-averaged,2,"[-2.0, 0.0, 0.0]","[-2.0, 0.0, 0.0]","[0.0, -3.0, 50.0]","[0.0, -3.0, 50.0]",10.0,10.000000888774224,8.887742239949148e-07
1,1.0,1,2.441666666666683,"[0.23332858085632324, 25.0, -0.14322692155838013]","[1.0, 0.0, -0.0]",simultaneous-contacts-averaged,2,"[-2.0, 0.0, 0.0]","[-2.0, 0.0, 0.0]","[0.0, -3.0, 50.0]","[0.0, -3.0, 50.0]",10.0,10.000000388461757,3.884617569838156e-07
2,1.0,1,2.475000000000018,"[-0.2613295912742615, 25.0, 0.1339745968580246]","[0.8660253882408142, 0.0, 0.5]",simultaneous-contacts-averaged,2,"[-2.0, 0.0, 0.0]","[-2.0, 0.0, 0.0]","[0.0, -3.0, 50.0]","[0.0, -2.999999523162842, 50.0]",10.0,9.999999958567393,-4.143260667888171e-08
3,1.0,1,1.6999999999999953,"[-2.403679370880127, 25.0, 0.8999999761581421]","[-0.0, 0.0, 1.0]",simultaneous-contacts-averaged,2,"[2.0, 0.0, 0.0]","[2.0, 0.0, 0.0]","[0.0, -4.3333330154418945, -50.0]","[0.0, -4.333333492279053, -50.0]",10.333333333333332,10.333333346731155,1.3397823295235867e-08
4,1.0,2,2.5166666666666866,"[0.12067129462957382, 25.0, -0.6252517104148865]","[0.9541522860527039, 0.0, 0.29932165145874023]",simultaneous-contacts-averaged,2,"[-2.0, 0.0, 0.0]","[-2.0, 0.0, 0.0]","[0.0, -1.0, 50.0]","[0.0, -1.0, 50.0]",13.0,12.999998743760543,-1.2562394573478741e-06
0,0.0,1,2.504166666666686,"[-0.004171311855316162, 25.0, 0.0]","[1.0, 0.0, -0.0]",simultaneous-contacts-averaged,2,"[-2.0, 0.0, 0.0]","[-2.0, 0.0, 0.0]","[0.0, -3.0, 50.0]","[0.0, -3.0, 50.0]",10.0,3.454545481669264,-6.545454518330736
1,0.0,1,2.441666666666683,"[0.23332858085632324, 25.0, -0.14322692155838013]","[1.0, 0.0, -0.0]",simultaneous-contacts-averaged,2,"[-2.0, 0.0, 0.0]","[-2.0, 0.0, 0.0]","[0.0, -3.0, 50.0]","[0.0, -3.0, 50.0]",10.0,3.5978189485863865,-6.4021810514136135
2,0.0,1,2.475000000000018,"[-0.2613295912742615, 25.0, 0.1339745968580246]","[0.8660253882408142, 0.0, 0.5]",simultaneous-contacts-averaged,2,"[-2.0, 0.0, 0.0]","[-2.0, 0.0, 0.0]","[0.0, -3.0, 50.0]","[0.0, -2.999999761581421, 50.0]",10.0,3.9578063384425075,-6.0421936615574925
3,0.0,1,1.6999999999999953,"[-2.403679370880127, 25.0, 0.8999999761581421]","[-0.0, 0.0, 1.0]",simultaneous-contacts-averaged,2,"[2.0, 0.0, 0.0]","[2.0, 0.0, 0.0]","[0.0, -4.3333330154418945, -50.0]","[0.0, -4.333333492279053, -50.0]",10.333333333333332,10.135728963585368,-0.19760436974796391
4,0.0,3,2.5166666666666866,"[0.12067129462957382, 25.0, -0.6252517104148865]","[0.9541522860527039, 0.0, 0.29932165145874023]",simultaneous-contacts-averaged,2,"[-2.0, 0.0, 0.0]","[-1.9999998807907104, 0.0, 0.0]","[0.0, -1.0, 50.0]","[0.0, -1.0, 49.999996185302734]",13.0,10.107509447988857,-2.892490552011143
